GENDER,AGE,EDUC,EMP_STATUS_PRECOVID,EMP_STATUS_NOW,STUDENT,INCOME_2019,INCOME_CHANGED,INCOME_2020,HHSIZE,N_VEHICLE,N_HH_DLICENSE,DLICENSE,MAIN_DRIVER,DIVVY_BIKE,REDUCEDFEE_TRANSIT,DATAPLAN,EXERCISE,DIS_CAT,RACE_CAT,ATTD_USAGE_FUTURE
1,19,1,0,3,0,0,1,12,0,0,1,1,-1,0,1,1,1,7,2,0
1,26,5,0,3,0,1,0,-1,2,2,2,1,-1,0,0,1,4,7,0,5
1,14,1,0,3,0,1,1,1,0,0,1,1,-1,0,0,1,0,7,0,5
0,19,1,0,3,0,1,1,2,1,0,2,1,-1,1,0,1,0,7,2,5
1,9,1,0,3,0,8,0,-1,2,1,3,1,0,1,0,1,0,7,0,0
1,8,1,0,3,0,8,1,8,2,1,3,1,0,0,0,1,4,7,0,0
0,7,3,1,4,1,3,0,-1,0,0,1,1,-1,0,0,1,3,7,0,5
1,20,5,0,3,0,2,0,-1,1,0,2,1,-1,1,0,1,0,7,0,5
1,22,5,0,3,0,1,0,-1,1,0,2,1,-1,1,1,1,1,7,0,5
0,10,1,0,3,1,6,1,6,2,1,2,1,1,1,0,1,2,7,0,5
1,12,1,0,3,0,1,0,-1,1,1,2,1,1,0,0,1,0,7,0,5
0,13,1,0,3,0,11,0,-1,1,1,2,1,1,0,1,1,0,7,0,5
0,7,1,0,3,2,7,0,-1,1,1,2,1,0,0,0,1,4,7,0,0
1,11,5,0,3,0,1,1,1,0,0,1,1,-1,1,0,1,0,7,0,5
2,14,8,0,3,0,7,1,5,0,0,1,1,-1,1,0,1,2,7,0,5
0,11,8,0,1,0,7,1,5,0,1,1,1,1,0,0,1,4,7,0,5
1,18,5,0,3,0,4,0,-1,1,1,2,1,1,0,0,1,4,7,0,5
0,7,1,0,3,2,7,1,7,0,0,1,1,-1,0,0,1,1,7,4,5
0,12,1,0,3,0,7,0,-1,0,1,1,1,1,1,0,1,2,7,0,5
1,15,1,0,3,0,1,0,-1,1,1,2,1,0,0,0,1,0,7,0,5
1,18,1,0,3,0,1,1,2,1,2,2,1,-1,0,0,1,0,7,0,5
0,11,1,0,3,0,10,0,-1,1,1,2,1,0,0,0,1,0,7,0,3
1,16,1,0,3,0,2,0,-1,0,1,2,1,0,0,0,1,3,7,0,0
1,24,8,0,2,0,10,1,6,1,0,1,0,-1,1,0,1,3,7,0,0
1,13,1,0,3,0,2,0,-1,1,1,2,1,0,0,0,1,2,7,1,5
1,19,1,0,3,0,4,1,4,3,2,2,1,-1,0,0,1,0,7,0,0
0,5,8,1,4,1,3,1,0,2,1,1,0,-1,0,1,1,0,7,2,5
1,12,1,0,3,0,9,0,-1,1,2,2,1,-1,0,0,1,1,7,0,5
1,10,1,0,3,0,1,0,-1,0,0,1,1,-1,0,0,1,0,7,4,3
1,18,1,0,3,0,4,0,-1,3,1,2,1,1,0,0,1,1,7,0,0
0,10,5,0,3,0,7,1,7,0,0,1,1,-1,0,0,1,4,3,0,0
1,18,1,0,3,0,1,0,-1,1,0,2,1,-1,0,0,1,1,7,0,3
1,25,5,0,3,0,9,1,9,1,2,2,1,-1,0,1,1,3,7,2,5
1,23,5,0,3,0,10,1,10,0,1,1,1,1,0,0,1,2,7,0,0
1,15,5,0,3,0,1,0,-1,1,1,2,1,1,0,0,1,0,7,0,5
1,15,1,0,3,0,4,0,-1,1,1,2,1,0,0,0,1,0,7,0,5
0,23,1,0,2,0,2,1,1,3,0,2,1,-1,0,0,1,1,7,0,0
1,6,1,2,-1,0,4,1,9,3,2,4,1,-1,1,0,1,0,7,0,0
1,20,1,0,3,0,1,1,2,0,1,1,1,1,0,0,1,1,7,0,5
0,18,1,0,1,0,7,1,0,0,1,1,1,1,0,0,1,0,7,0,0
1,9,5,2,-1,0,8,1,8,1,2,2,1,-1,0,0,1,0,7,0,0
1,7,1,0,3,0,7,1,8,1,0,2,1,-1,1,0,1,2,7,4,5
1,22,5,0,3,0,1,0,-1,3,1,2,1,1,0,0,1,1,7,0,5
1,14,8,0,3,0,5,0,-1,1,0,2,1,-1,0,0,1,0,7,0,5
0,14,8,0,3,0,8,1,10,0,0,1,1,-1,0,0,1,0,7,2,5
0,10,5,0,3,0,7,0,-1,0,0,1,1,-1,0,0,1,4,7,0,3
0,-1,5,0,3,0,7,0,-1,0,0,1,1,-1,1,0,1,2,7,0,5
1,16,1,0,3,0,1,1,1,0,0,1,1,-1,0,0,1,4,7,6,0
1,15,1,0,3,0,7,1,7,0,2,1,1,-1,0,0,1,0,7,0,5
0,10,1,0,3,0,8,1,10,2,2,3,1,-1,0,0,1,1,0,0,5
0,12,1,0,3,0,8,1,9,0,1,1,1,0,1,0,1,0,7,0,0
1,15,1,0,3,0,1,1,11,1,0,2,1,-1,0,0,1,1,7,0,5
1,9,1,0,3,0,9,1,10,1,0,2,1,-1,0,0,1,0,7,2,0
1,33,1,5,-1,0,10,0,-1,1,2,2,1,-1,0,0,1,2,7,0,5
0,14,1,0,3,0,1,0,-1,0,0,1,1,-1,0,0,1,1,7,0,5
1,14,1,0,3,0,9,0,-1,1,1,2,1,1,0,0,1,0,7,0,0
1,12,0,1,3,2,9,1,9,0,0,0,-1,-1,0,0,1,2,7,1,5
1,16,3,0,1,0,13,1,12,1,0,1,0,-1,1,0,1,0,7,0,5
1,15,7,0,3,0,4,1,4,1,1,2,1,1,1,0,1,1,7,0,3
0,9,1,2,-1,1,13,0,-1,1,0,2,1,-1,0,1,1,3,7,0,3
1,10,1,0,3,0,11,1,1,1,1,2,1,1,1,0,1,4,7,0,0
0,9,1,0,3,0,9,0,-1,3,1,4,1,0,0,0,1,1,7,0,0
1,21,5,0,3,0,4,0,-1,3,1,2,1,1,0,0,1,1,7,0,0
1,21,1,0,2,0,12,1,6,0,1,1,1,1,0,1,1,3,7,0,5
0,8,1,0,4,0,5,1,0,1,1,2,1,1,0,0,1,4,7,0,0
0,10,1,0,3,0,7,1,11,0,0,1,1,-1,1,0,1,0,7,0,4
1,22,8,0,1,0,11,1,13,1,2,2,1,-1,0,0,1,2,7,0,1
0,12,1,0,3,0,7,0,-1,0,0,1,1,-1,0,0,1,0,7,0,5
0,8,1,0,3,0,12,0,-1,1,2,2,1,-1,0,0,1,3,7,0,5
0,12,5,0,3,2,1,0,-1,1,2,2,1,-1,0,0,1,0,7,0,5
0,13,1,0,3,0,8,1,8,0,0,1,1,-1,0,0,1,2,7,0,5
0,16,1,0,2,1,1,1,11,1,1,1,1,1,0,0,1,3,7,1,5
0,10,5,0,3,2,8,0,-1,1,2,2,1,-1,0,0,1,2,7,0,5
1,33,5,0,3,0,4,0,-1,3,2,2,1,-1,1,0,1,0,7,0,0
1,13,0,0,3,0,2,1,4,1,1,2,1,0,0,0,1,2,7,0,0
1,16,1,0,3,0,2,1,2,0,2,1,1,-1,1,0,1,4,7,4,0
1,7,1,0,3,0,8,0,-1,0,0,2,1,-1,0,1,1,3,7,0,5
0,5,3,0,3,1,3,0,-1,0,0,1,1,-1,0,0,1,1,7,1,0
1,17,8,0,0,0,5,1,3,0,0,0,-1,-1,0,0,1,0,7,0,5
1,20,5,0,3,0,4,0,-1,1,0,2,1,-1,0,0,1,2,7,0,6
0,9,1,0,3,0,9,1,11,0,0,1,1,-1,1,0,1,0,7,0,5
1,17,1,0,3,0,2,1,2,0,1,1,1,1,0,0,1,0,7,0,5
1,26,1,0,3,0,4,0,-1,3,2,2,1,-1,0,0,1,3,7,4,1
0,9,5,0,3,0,9,0,-1,0,0,1,1,-1,0,0,1,3,7,0,2
1,21,5,0,3,0,1,1,4,2,1,2,1,1,0,0,1,4,7,0,5
1,11,1,0,3,0,1,1,10,1,1,2,1,1,1,0,1,0,7,0,3
1,10,1,0,3,0,8,0,-1,2,1,3,1,1,1,0,1,0,7,0,5
0,15,1,0,3,0,7,1,3,0,0,1,1,-1,0,1,1,3,7,0,5
1,9,8,0,2,0,6,1,12,0,0,1,1,-1,0,0,1,3,7,0,0
1,14,1,0,1,0,13,1,13,1,1,2,1,0,0,0,1,0,7,0,6
0,-1,1,0,3,0,1,0,-1,1,2,2,1,-1,0,0,1,1,7,0,0
1,16,1,0,3,0,11,1,11,0,0,1,1,-1,0,0,1,4,7,0,5
1,19,1,0,3,0,2,0,-1,2,1,3,1,1,0,0,1,2,7,0,0
0,8,1,0,3,0,1,0,-1,1,0,2,1,-1,1,0,1,0,7,0,5
1,6,1,3,-1,0,12,1,7,1,1,1,1,1,1,0,1,4,0,0,5
0,-1,5,0,3,0,8,0,-1,0,0,1,1,-1,1,0,1,0,0,0,3
1,13,5,3,-1,1,1,0,-1,1,2,2,1,-1,1,0,1,1,7,4,5
1,29,5,0,3,0,1,0,-1,2,1,2,1,1,1,0,1,0,7,0,0
1,13,1,0,3,0,2,1,2,1,0,2,1,-1,0,0,1,0,7,0,5
1,21,8,0,3,0,7,0,-1,0,0,1,1,-1,0,0,1,2,7,0,3
0,9,1,0,3,2,10,0,-1,3,4,4,1,-1,0,0,1,4,7,0,0
1,12,8,0,3,0,3,1,5,1,1,2,1,0,0,0,1,2,7,3,5
1,23,7,0,3,0,4,0,-1,1,1,2,1,0,0,0,1,3,7,0,5
1,8,1,0,3,0,1,0,-1,1,1,2,1,0,0,0,1,0,7,0,5
1,16,3,0,1,0,12,0,-1,0,0,0,-1,-1,1,0,1,0,7,0,5
1,25,5,0,3,0,11,0,-1,0,1,1,1,1,0,0,1,0,7,0,5
0,7,1,0,3,0,8,1,6,0,1,2,1,0,0,0,1,2,7,0,0
0,32,1,0,3,0,1,0,-1,0,1,1,1,1,1,0,1,0,7,0,5
0,18,1,0,3,0,9,1,1,0,0,1,1,-1,0,0,1,0,7,0,5
1,10,1,0,3,0,9,1,10,0,1,1,1,1,1,0,1,0,0,0,5
1,16,5,0,3,0,5,0,-1,2,0,3,1,-1,0,0,1,0,7,0,5
1,22,1,0,3,0,1,0,-1,1,1,2,1,1,0,0,1,4,7,0,0
1,20,5,0,3,0,1,1,2,1,1,2,1,1,1,0,1,1,7,0,5
1,13,0,0,4,0,10,1,6,1,1,2,1,1,0,0,1,3,7,2,0
0,13,1,0,3,0,2,1,4,1,1,2,1,1,0,0,1,1,7,0,5
0,10,1,0,3,0,9,1,10,2,2,3,1,-1,1,0,1,0,7,0,3
1,10,1,0,3,0,10,1,10,1,1,2,1,0,0,0,1,4,7,4,0
0,13,5,0,3,0,1,1,2,1,0,2,1,-1,1,0,1,0,7,0,0
1,10,1,0,2,0,7,1,8,1,1,2,1,1,0,0,1,3,7,0,5
0,10,1,0,3,0,1,1,1,1,2,2,1,-1,0,0,1,0,7,0,3
0,14,1,0,3,0,7,0,-1,2,1,3,1,0,1,0,1,0,7,1,5
0,16,5,0,3,0,13,1,13,1,1,2,1,0,1,0,1,0,7,0,0
1,16,5,0,3,0,2,1,2,0,0,1,1,-1,1,0,1,0,7,4,3
0,11,1,0,3,0,1,0,-1,1,0,2,1,-1,0,0,1,4,7,0,3
0,10,5,0,3,0,10,1,10,1,2,2,1,-1,0,0,1,1,7,0,5
1,20,1,0,3,0,1,0,-1,0,1,1,1,1,0,0,1,4,7,0,5
1,24,1,0,3,0,11,1,11,0,0,1,1,-1,0,0,1,0,7,0,5
0,12,5,0,4,0,9,1,12,1,0,2,1,-1,1,0,1,1,7,0,3
1,10,1,0,3,0,11,1,11,3,1,4,1,0,1,0,1,1,7,0,5
1,16,5,0,3,0,2,1,1,2,2,2,1,-1,1,0,1,0,7,0,5
1,8,1,0,3,0,7,0,-1,2,0,3,1,-1,1,0,1,0,7,0,2
1,20,3,1,2,0,7,1,2,0,3,2,0,-1,1,1,1,0,7,3,3
1,22,5,0,3,0,4,1,4,1,1,2,1,0,0,0,1,0,7,4,0
1,10,1,0,3,0,7,0,-1,0,0,1,1,-1,1,0,1,3,7,0,5
1,12,1,0,3,0,1,1,1,1,2,2,1,-1,0,0,1,0,7,0,0
0,10,5,0,3,0,1,0,-1,1,1,2,1,1,0,0,1,0,7,0,3
1,12,1,0,3,0,10,0,-1,1,1,2,1,0,0,0,1,3,7,0,5
1,14,1,0,3,0,1,0,-1,0,0,1,1,-1,1,0,1,2,7,2,0
0,14,5,0,3,0,2,0,-1,1,1,2,1,0,0,0,1,0,7,0,0
1,26,7,0,3,0,1,1,1,0,0,1,1,-1,0,0,1,0,7,4,0
1,18,1,0,3,0,9,1,9,0,0,1,1,-1,1,0,1,1,7,0,5
1,8,1,0,3,0,9,1,7,0,0,1,1,-1,0,0,1,1,7,6,0
1,12,1,0,2,0,5,1,13,3,4,4,1,-1,1,0,1,1,7,0,5
1,33,1,0,3,0,4,0,-1,1,1,2,1,1,1,0,1,1,7,0,5
0,11,1,0,3,0,6,0,-1,1,1,2,1,0,0,0,1,1,7,0,5
0,12,1,0,3,0,9,0,-1,1,2,2,1,-1,0,0,1,1,7,0,5
0,11,1,0,3,0,11,0,-1,0,0,1,1,-1,0,0,1,1,7,0,3
1,12,7,0,3,0,7,1,8,0,0,1,1,-1,0,0,1,3,7,0,5
0,11,8,0,3,0,6,0,-1,1,1,2,1,0,0,0,1,3,7,0,5
1,8,1,0,3,0,11,0,-1,0,1,1,1,1,1,0,1,1,7,0,5
1,18,1,0,3,0,10,1,11,0,0,1,1,-1,0,0,1,0,7,0,3
0,15,1,4,-1,0,10,1,1,1,0,2,1,-1,0,0,1,4,7,2,4
1,13,1,0,3,0,9,1,0,0,0,2,1,-1,1,0,1,0,7,0,5
1,8,1,0,3,0,8,0,-1,1,0,2,1,-1,0,0,1,1,7,0,0
0,8,1,0,3,0,7,1,8,0,0,1,1,-1,0,0,1,4,7,1,0
1,8,1,0,4,0,7,0,-1,3,1,4,1,0,0,0,1,3,3,0,0
1,-1,5,0,3,0,2,0,-1,3,1,2,1,1,0,1,1,1,7,0,0
1,9,1,0,3,0,7,1,6,1,2,2,1,-1,0,0,1,0,0,0,5
1,10,1,0,3,0,9,0,-1,0,0,1,1,-1,0,0,1,4,7,0,5
1,9,1,0,4,0,7,1,3,0,1,1,1,1,1,0,1,0,7,0,5
1,33,5,0,3,0,4,0,-1,1,1,2,1,0,1,0,1,1,7,0,5
0,15,1,0,3,0,1,0,-1,1,2,2,1,-1,0,0,1,1,7,0,5
1,15,5,0,3,0,8,0,-1,0,2,1,1,-1,1,0,1,0,7,0,5
1,13,1,0,3,0,4,0,-1,0,0,1,1,-1,1,0,1,1,7,0,5
0,8,1,0,3,0,9,0,-1,1,0,2,1,-1,0,0,1,2,7,0,5
1,25,5,0,3,0,4,1,4,0,0,2,1,-1,1,1,1,1,0,0,0
1,24,5,0,2,0,2,1,2,0,0,1,1,-1,0,0,1,0,7,0,6
0,8,8,0,2,0,6,0,-1,0,0,1,1,-1,1,0,1,0,3,0,2
0,11,1,2,-1,1,8,0,-1,2,0,3,1,-1,1,1,1,1,7,0,2
0,9,0,1,2,0,11,0,-1,1,1,2,1,0,0,0,1,1,7,0,5
0,10,1,0,3,0,10,1,11,0,0,1,1,-1,0,0,1,1,7,4,0
1,12,1,0,3,0,1,1,1,1,1,2,1,1,0,0,1,0,7,0,5
1,12,1,0,3,0,11,1,1,1,1,2,1,0,0,0,1,0,7,0,5
0,7,1,4,-1,0,5,0,-1,0,1,1,1,0,0,0,1,2,7,2,5
0,33,1,0,3,0,2,0,-1,1,1,2,1,0,0,0,1,4,7,0,0
1,18,5,0,3,0,2,0,-1,0,0,1,1,-1,0,0,1,2,7,0,0
1,39,1,0,3,0,13,0,-1,0,0,1,1,-1,0,0,1,0,7,0,0
1,18,5,0,3,0,4,1,1,0,0,1,1,-1,1,0,1,1,7,0,4
1,9,1,0,3,0,7,1,1,0,0,1,1,-1,0,0,1,0,0,0,5
1,31,1,0,1,0,9,1,12,1,0,1,0,-1,1,0,1,3,7,0,0
1,23,1,0,3,0,1,0,-1,0,2,1,1,-1,0,0,1,3,7,0,0
0,11,7,2,-1,0,2,0,-1,2,1,3,1,0,1,0,1,2,7,2,5
1,8,1,0,3,0,10,1,10,1,0,3,1,-1,0,0,1,0,7,0,0
1,11,1,0,3,0,1,1,2,1,1,2,1,1,0,0,1,0,7,0,0
1,11,5,0,3,0,8,1,8,0,0,1,1,-1,1,1,1,2,7,0,0
0,6,1,1,3,0,6,1,6,1,0,1,1,-1,0,0,1,4,7,2,5
0,6,8,1,3,2,7,0,-1,5,4,4,1,-1,0,1,1,3,7,4,5
0,15,1,0,3,0,11,0,-1,1,2,2,1,-1,0,0,1,3,7,0,5
1,28,1,0,3,0,4,0,-1,4,1,2,1,1,0,0,1,1,7,0,5
0,2,3,1,4,2,13,0,-1,5,0,2,1,-1,0,0,1,4,7,2,5
1,28,1,0,3,0,1,1,1,5,2,2,1,-1,1,0,1,3,7,0,3
1,35,1,0,3,0,2,0,-1,3,2,3,1,-1,1,0,1,1,7,0,5
0,16,5,0,3,0,11,1,9,1,1,2,1,1,1,1,1,0,7,2,2
1,24,5,0,3,0,1,0,-1,5,1,2,1,1,0,0,1,2,7,0,2
1,22,0,0,3,0,7,0,-1,3,3,4,1,-1,0,0,1,0,7,4,2
1,30,1,0,3,0,13,1,13,0,1,1,1,1,1,0,1,1,7,4,5
0,13,8,1,4,0,13,1,13,1,1,1,1,1,0,0,1,3,7,2,3
0,13,1,0,3,0,1,1,1,1,2,2,1,-1,1,0,1,2,7,0,5
1,24,1,0,3,0,10,0,-1,0,1,1,1,1,0,0,1,1,7,2,5
0,10,1,0,2,0,5,1,0,0,0,1,1,-1,0,0,1,1,7,0,0
1,14,0,0,2,0,6,1,0,0,1,1,1,1,0,0,1,0,7,0,5
1,37,5,0,3,0,1,0,-1,0,1,1,1,1,0,0,1,0,7,1,5
0,24,0,0,4,0,12,1,12,0,1,1,1,1,0,0,1,0,7,0,5
1,42,2,1,4,0,2,1,2,1,0,2,1,-1,0,0,1,1,7,6,0
0,13,5,0,4,0,8,1,8,1,1,2,1,1,0,0,1,0,7,0,5
3,-1,6,5,-1,1,13,0,-1,3,2,3,0,-1,0,1,1,2,7,0,0
1,-1,6,5,-1,1,13,0,-1,3,2,2,0,-1,0,1,1,2,7,0,3
1,21,0,0,3,0,6,1,6,1,0,1,1,-1,0,0,1,3,7,0,0
1,15,5,0,3,0,4,1,4,1,1,2,1,0,0,0,1,4,7,0,0
0,10,8,0,3,0,11,0,-1,1,1,2,1,1,0,0,1,0,7,0,5
1,18,1,0,3,0,10,1,9,0,0,1,1,-1,0,0,1,0,7,0,0
0,15,1,0,3,0,6,1,6,0,0,1,1,-1,0,0,1,1,7,2,0
0,20,1,0,1,0,7,1,3,0,1,1,1,1,0,0,1,4,7,0,0
1,23,5,0,2,0,11,1,8,1,1,2,1,0,1,0,1,1,7,1,5
1,23,5,0,3,0,13,1,13,1,1,2,1,1,0,0,1,0,7,0,5
1,20,5,0,3,0,7,1,1,1,2,2,1,-1,0,0,1,2,7,0,0
0,28,1,0,4,0,6,1,3,0,1,1,1,1,1,0,1,1,7,5,0
0,3,8,1,4,1,2,0,-1,2,2,3,1,-1,0,0,1,4,7,0,5
0,14,1,0,3,0,9,0,-1,0,1,1,1,1,0,0,1,0,7,0,5
0,28,1,0,3,0,6,0,-1,1,0,2,1,-1,0,0,1,0,7,4,3
1,9,8,0,3,0,6,1,5,1,1,2,1,0,1,0,1,4,7,0,3
1,3,8,2,-1,1,1,0,-1,4,4,3,1,-1,0,0,1,4,7,0,5
1,11,0,0,3,0,6,0,-1,1,1,2,1,0,0,0,1,2,7,2,5
1,30,1,0,3,0,4,1,4,1,0,2,1,-1,0,0,1,1,7,0,5
1,19,5,0,3,0,4,0,-1,1,1,2,1,1,1,0,1,0,7,0,5
0,2,3,5,-1,1,13,1,13,0,1,1,1,0,0,1,1,1,7,0,3
1,8,1,0,3,0,7,0,-1,0,0,1,1,-1,0,0,1,1,7,0,0
0,21,1,0,3,0,4,1,4,0,1,1,1,1,1,0,1,1,7,0,5
0,10,7,0,3,2,8,0,-1,0,0,1,1,-1,0,0,1,1,7,2,5
1,23,5,0,3,0,9,1,11,1,1,2,1,0,0,0,1,1,7,0,5
1,14,1,0,2,0,11,1,6,0,0,1,1,-1,0,0,1,2,7,6,6
0,24,1,0,3,0,10,0,-1,0,2,1,1,-1,0,0,1,0,7,0,5
1,19,1,0,3,0,4,1,1,1,0,2,1,-1,0,0,1,4,7,0,0
1,4,1,1,4,1,8,0,-1,2,1,4,1,0,1,0,1,0,7,0,5
1,19,8,1,2,0,12,1,12,2,0,2,1,-1,0,0,1,1,7,0,5
1,48,1,0,3,0,1,0,-1,0,0,1,1,-1,0,0,1,0,7,0,5
1,32,1,0,3,0,8,0,-1,1,1,1,1,1,0,0,1,3,7,0,0
0,13,3,0,1,0,7,1,5,0,0,1,1,-1,0,0,1,1,7,0,0
1,4,8,3,-1,1,4,1,4,4,2,5,1,-1,0,1,1,4,7,0,2
1,19,1,1,2,1,12,0,-1,2,0,0,-1,-1,0,1,1,4,7,0,5
1,12,0,4,-1,0,12,0,-1,3,3,3,1,-1,0,1,1,3,6,0,5
1,23,7,0,3,0,4,0,-1,3,1,2,1,0,0,0,1,4,7,0,5
1,23,1,0,1,0,11,1,6,1,2,0,-1,-1,0,0,1,3,7,0,5
1,23,5,0,3,0,1,0,-1,1,2,2,1,-1,0,0,1,2,7,0,5
1,23,7,0,2,0,2,1,13,3,1,2,1,1,1,0,1,1,7,0,0
0,12,1,0,3,0,2,0,-1,1,2,2,1,-1,0,0,1,0,7,0,0
1,28,7,0,3,0,4,0,-1,1,2,2,1,-1,1,0,1,1,7,0,3
1,13,1,0,3,0,2,1,1,0,1,1,1,1,1,0,1,0,7,0,5
1,19,1,0,2,0,2,1,2,1,1,2,1,0,0,0,1,2,7,0,5
1,9,7,0,3,0,7,0,-1,0,1,1,1,1,1,0,1,1,7,1,5
0,34,5,1,1,0,4,0,-1,2,1,2,1,1,1,0,1,1,7,0,0
1,13,7,0,3,0,8,0,-1,0,1,1,1,1,0,0,1,4,7,0,5
1,27,5,0,3,0,13,0,-1,1,0,2,1,-1,0,0,1,1,7,0,5
0,3,8,4,-1,0,3,0,-1,5,4,3,0,-1,0,0,0,3,7,0,3
0,2,8,1,4,2,13,1,13,2,1,1,0,-1,0,1,1,0,6,0,0
1,14,3,4,-1,0,12,1,0,2,2,3,1,-1,0,0,1,3,7,1,5
